id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
858;Taichi y relajación;DemoEM;858;Os invitamos a practicar Taichi con nostras, una disciplina ancestral que ofrece relajación, reduce el estrés y la ansiedad, a la vez que mejora la flexibilidad del cuerpo y el equilibrio de la mente. Además acabaremos cada día con una pequeña ;;-3.7037047897267947;40.45012255255781;2021-11-05T18:30:00.0Z;2021-11-26T23:59:00.0Z;Leisure;CursosTalleres
859;Taj Mahal;DemoEM;859;Taj Mahal  Marco geográfico de la India. Historia del Imperio Mogol.  Entrada libre hasta completar aforo: máximo 22 personas, por orden de llegada. No es necesaria inscripción previa.;;-3.720088245008897;40.39786734087938;2021-11-26T18:30:00.0Z;2021-11-26T23:59:00.0Z;Leisure;ConferenciasColoquios
860;Taj Mahal;DemoEM;860;Taj Mahal.  Historia del Imperio Mogol continuación. Emperadores y monumentos.  Entrada libre hasta completar aforo: máximo 22 personas, por orden de llegada. No es necesaria inscripción previa.;;-3.720088245008897;40.39786734087938;2021-12-17T18:30:00.0Z;2021-12-17T23:59:00.0Z;Leisure;ConferenciasColoquios
861;Taller abierto: CFP Taller Flamenco y Concierto de Flamenco. A cargo de Camerata Flamenco Project.;DemoEM;861;;;-3.6976620067964996;40.46903299144094;2021-11-18T19:00:00.0Z;2021-11-18T23:59:00.0Z;Leisure;CursosTalleres
862;Taller Cultural  'Emilia Pardo Bazán, periodista' (presencial);DemoEM;862;AFORO COMPLETO.;;-3.710182353581842;40.42802889001877;2021-11-17T18:30:00.0Z;2021-11-17T23:59:00.0Z;Leisure;CursosTalleres
863;Taller Cultural 'Emilia Pardo Bazán, periodista' (presencial);DemoEM;863;AFORO COMPLETO;;-3.710182353581842;40.42802889001877;2021-12-01T18:30:00.0Z;2021-12-01T23:59:00.0Z;Leisure;CursosTalleres
864;Taller de ajedrez;DemoEM;864;;;-3.662968075865235;40.42206601994432;2021-10-03T11:00:00.0Z;2021-11-30T23:59:00.0Z;Leisure;None
865;Taller de Ajedrez. Iniciación;DemoEM;865;;;-3.7098591212735883;40.41410290844665;2021-11-26T17:15:00.0Z;2022-06-24T23:59:00.0Z;Leisure;CursosTalleres
866;Taller de Ajedrez. Perfeccionamiento;DemoEM;866;;;-3.7098591212735883;40.41410290844665;2021-11-26T17:30:00.0Z;2022-06-24T23:59:00.0Z;Leisure;None
867;Taller de alemán;DemoEM;867;;;-3.7664885474841556;40.397074625115906;2021-10-14T00:00:00.0Z;2022-06-30T23:59:00.0Z;Leisure;CursosTalleres
868;Taller de Alfabetización Informacional;DemoEM;868;El taller consistirá en dar a conocer los principales conceptos sobre el uso de las tecnologías de la información y la comunicación. De esta forma, se adquieren los conocimientos necesarios para encontrar, evaluar, utilizar y comunicar la infor;;-3.7105999955473625;40.42738668300474;2021-11-22T12:00:00.0Z;2021-11-26T23:59:00.0Z;Leisure;CursosTalleres
869;Taller de Alfabetización Informacional;DemoEM;869;El taller consistirá en dar a conocer los principales conceptos sobre el uso de las tecnologías de la información y la comunicación. De esta forma, se adquieren los conocimientos necesarios para encontrar, evaluar, utilizar y comunicar la infor;;-3.701141063083806;40.366768324753416;2021-11-15T18:00:00.0Z;2021-11-18T23:59:00.0Z;Leisure;CursosTalleres
870;Taller de Alfabetización Informacional;DemoEM;870;El taller consistirá en dar a conocer los principales conceptos sobre el uso de las tecnologías de la información y la comunicación. De esta forma, se adquieren los conocimientos necesarios para encontrar, evaluar, utilizar y comunicar la infor;;-3.6762309620097398;40.44810636195716;2021-11-15T12:00:00.0Z;2021-11-18T23:59:00.0Z;Leisure;CursosTalleres
871;Taller de Alfabetización Informacional;DemoEM;871;El taller consistirá en dar a conocer los principales conceptos sobre el uso de las tecnologías de la información y la comunicación. De esta forma, se adquieren los conocimientos necesarios para encontrar, evaluar, utilizar y comunicar la infor;;-3.6105662311927453;40.433291625973624;2021-11-22T10:00:00.0Z;2021-11-25T23:59:00.0Z;Leisure;CursosTalleres
872;Taller de ansiedad y estrés;DemoEM;872;Organiza: Centro Cultural de Hortaleza y Equipo de Psicología del Centro de MadridSalud de Hortaleza. Calle Juan Clemente Nuñez, 3.  Interesados llamad para entrevista al Teléfono: 91 748 92 07.  Martes 2, 16, 23 y 30 de noviembre de 2021.  Hor;;-3.6420353342333227;40.476859845869534;2021-11-02T00:00:00.0Z;2021-11-30T23:59:00.0Z;Leisure;CursosTalleres
873;Taller de baile infantil;DemoEM;873;;;-3.673881351837232;40.397020792322316;2021-10-01T17:30:00.0Z;2021-12-17T23:59:00.0Z;Leisure;DanzaBaile
874;Taller de Caligrafía y Grafología;DemoEM;874;;;-3.6976620067964996;40.46903299144094;2021-02-05T00:00:00.0Z;2021-11-30T23:59:00.0Z;Leisure;CursosTalleres
875;Taller de Caligrafía y Grafología;DemoEM;875;;;-3.6218113860909074;40.420231627534996;2021-11-10T18:00:00.0Z;2022-05-23T23:59:00.0Z;Leisure;CursosTalleres
876;Taller de Dibujo Manga;DemoEM;876;;;-3.700809560921597;40.334751832113774;2021-11-16T17:15:00.0Z;2021-12-14T23:59:00.0Z;Leisure;CursosTalleres
877;Taller de envejecimiento activo;DemoEM;877;;;-3.7562716852987847;40.39597072367931;2021-10-27T11:00:00.0Z;2021-11-24T23:59:00.0Z;Leisure;CursosTalleres
878;Taller de informática;DemoEM;878;;;-3.7098591212735883;40.41410290844665;2021-11-15T12:00:00.0Z;2021-11-19T23:59:00.0Z;Leisure;CursosTalleres
